line,word
49,scream
49,and
49,gurgle
49,as
49,they
49,skewered
49,his
49,catflap
49,for
49,once
49,of
49,a
49,farthing
50,i
50,think
50,you
50,get
50,my
50,message
51,erm
51,yes
51,yes
51,indeed
51,but
51,tell
51,me
51,bishop
51,let
51,me
51,just
51,test
51,the
51,water
51,here
51,so
51,to
51,speak
51,erm
51,supposing
51,i
51,was
51,to
51,say
51,to
51,you
51,something
51,like
51,i'm
51,a
51,close
51,friend
51,of
51,the
51,queen's
51,and
51,i
51,think
51,she'd
51,be
51,very
51,interested
51,to
51,hear
51,about
51,you
51,and
51,mollie
51,and
51,the
51,wimple
51,so
51,why
51,don't
51,we
51,just
51,call
51,it
51,quits
51,eh
51,fatso
52,i
52,would
52,say
52,firstly
52,the
52,queen
52,would
52,not
52,believe
52,you
52,and
52,secondly
52,you'll
52,regret
52,calling
52,me
52,fatso
52,later
52,today
53,ah
54,i
54,will
54,have
54,my
54,money
54,by
54,evensong
54,tonight
54,or
54,your
54,bottom
54,will
54,wish
54,it
54,had
54,never
54,been
54,born
55,oh
55,poor
55,tom's
55,cold
55,pity
55,poor
55,tom
55,for
55,his
55,nose
55,is
55,frozen
55,and
55,he
55,does
55,shiver
55,and
55,he's
55,mad
56,oh
56,shut
56,up
57,so
57,lads
57,i'm
57,up
57,a
57,certain
57,creek
57,without
57,a
57,certain
57,instrument
57,either
57,i
57,raise
57,a
57,thousand
57,pounds
57,by
57,this
57,evening
57,or
57,i
57,get
57,murdered
57,what
57,should
57,i
57,do
58,it's
58,obvious
59,what
60,you'll
60,have
60,to
60,get
60,murdered
60,you'll
60,never
60,raise
60,that
60,sort
60,of
60,money
61,oh
61,come
61,now
61,baldrick
61,a
61,piffling
61,thousand
61,pay
61,the
61,fellow
61,edmund
61,and
61,damn
61,his
61,impudence
62,i
62,haven't
62,got
62,a
62,thousand
62,dunghead
62,i've
62,got
62,85
62,quid
62,in
62,the
62,whole
62,world
63,but
63,you're
63,always
63,boasting
63,to
63,the
63,queen
63,about
63,how
63,wealthy
63,you
63,are
64,ah
64,a
64,cunning
64,web
64,of
64,deceit
64,subtly
64,spun
64,about
64,the
64,court
64,to
64,improve
64,my
64,standing
64,unfortunately
65,what
65,do
65,you
65,mean
65,you've
65,been
65,fibbing
66,yep
66,my
66,whole
66,life
66,has
66,been
66,a
66,tissue
66,of
66,whoppers
66,i
66,consider
66,myself
66,one
66,of
66,england's
66,finest
66,liars
66,oh
66,my
66,god
66,percy
66,a
66,giant
66,hummingbird
66,is
66,about
66,to
66,eat
66,your
66,hat
66,and
66,cloak
67,oh
67,no
68,you
68,see
68,i'm
68,terrific
68,at
68,it
69,it
69,seems
69,to
69,have
69,gone
69,now
69,well
69,couldn't
69,you
69,just
69,dip
69,into
69,the
69,family
69,fortune
70,there
70,isn't
70,one
70,my
70,father
70,blew
70,it
70,all
70,on
70,wine
70,women
70,and
70,amateur
70,dramatics
70,at
70,the
70,end
70,he
70,was
70,eking
70,out
70,of
70,a
70,living
70,doing
70,humourous
70,impressions
70,of
70,anne
70,of
70,cleeves
71,oh
71,edmund
71,i
71,am
71,sorry
71,i
71,had
71,no
71,idea
71,but
71,do
71,not
71,despair
71,for
71,i
71,have
71,some
71,small
71,savings
71,carefully
71,harvested
71,from
71,my
71,weekly
71,allowance
71,set
71,aside
71,against
71,my
71,frail
71,old
